# http://127.0.0.1:6568 --workers 5 --loaded-duration-minutes 5 --output-dir run --overwrite-output
# {"appUrl":"http://127.0.0.1:6568","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"run","overwriteOutput":true,"recordingPath":"recording.log","workers":5}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836258540,44,
6,1,1,WS_SEND_START,1675836258540,44,
6,1,1,WS_SEND_END,1675836258540,44,
6,1,1,WS_RECV_START,1675836258540,45,
6,1,1,WS_RECV_END,1675836258802,45,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836258802,46,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836262032,46,
6,1,1,WS_SEND_START,1675836262032,46,
6,1,1,WS_SEND_END,1675836262032,46,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836262032,47,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836262035,47,
6,1,1,WS_SEND_START,1675836262035,47,
6,1,1,WS_SEND_END,1675836262035,47,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836262035,48,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836262203,48,
6,1,1,WS_SEND_START,1675836262203,48,
6,1,1,WS_SEND_END,1675836262203,48,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836262203,49,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836262209,49,
6,1,1,WS_SEND_START,1675836262209,49,
6,1,1,WS_SEND_END,1675836262209,49,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836262209,50,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836263054,50,
6,1,1,WS_SEND_START,1675836263054,50,
6,1,1,WS_SEND_END,1675836263054,50,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836263054,51,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836263120,51,
6,1,1,WS_SEND_START,1675836263120,51,
6,1,1,WS_SEND_END,1675836263121,51,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836263121,52,
6,1,1,PLAYBACK_SLEEPBEFORE_END,1675836263122,52,
6,1,1,WS_SEND_START,1675836263122,52,
6,1,1,WS_SEND_END,1675836263122,52,
6,1,1,PLAYBACK_SLEEPBEFORE_START,1675836263123,53,
